category_id,category_name,category_type,tax_rate,is_perishable,created_date,Last_updated_date,is_active
{'CAT001'},Maize Flour,Grocery,0,False,2020-01-01,2025-12-31,True
{'CAT002'},Rice,Grocery,16,False,2020-01-01,2025-12-31,True
{'CAT003'},Sugar,Grocery,16,False,2020-01-01,2025-12-31,True
{'CAT004'},Cooking Oil,Grocery,16,False,2020-01-01,2025-12-31,True
{'CAT005'},Salt,Grocery,16,False,2020-01-01,2025-12-31,True
{'CAT006'},Milk,Fresh Foods,16,True,2020-01-01,2025-12-31,True
{'CAT007'},Yoghurt,Fresh Foods,16,True,2020-01-01,2025-12-31,True
{'CAT008'},Cheese,Fresh Foods,16,True,2020-01-01,2025-12-31,True
{'CAT009'},Butter,Fresh Foods,16,True,2020-01-01,2025-12-31,True
{'CAT010'},Bread,Bakery,16,True,2020-01-01,2025-12-31,True
{'CAT011'},Cakes,Bakery,16,True,2020-01-01,2025-12-31,True
{'CAT012'},Soft Drinks,Beverages,16,False,2020-01-01,2025-12-31,True
{'CAT013'},Juices,Beverages,16,False,2020-01-01,2025-12-31,True
{'CAT014'},Water,Beverages,0,False,2020-01-01,2025-12-31,True
{'CAT015'},Tea,Beverages,16,False,2020-01-01,2025-12-31,True
{'CAT016'},Coffee,Beverages,16,False,2020-01-01,2025-12-31,True
{'CAT017'},Cleaning Supplies,Household,16,False,2020-01-01,2025-12-31,True
{'CAT018'},Laundry,Household,16,False,2020-01-01,2025-12-31,True
{'CAT019'},Toiletries,Personal Care,16,False,2020-01-01,2025-12-31,True
{'CAT020'},Baby Care,Personal Care,16,False,2020-01-01,2025-12-31,True
{'CAT021'},Stationery,Office,16,False,2020-01-01,2025-12-31,True
{'CAT022'},Electronics,Electronics,16,False,2020-01-01,2025-12-31,True
{'CAT023'},Kitchenware,Home,16,False,2020-01-01,2025-12-31,True
{'CAT024'},Pet Food,Pets,16,False,2020-01-01,2025-12-31,True
{'CAT025'},Frozen Foods,Frozen,16,True,2020-01-01,2025-12-31,True
